legajo;nombreUsuario;contrasena;fechaAlta;fechaUltimoLogin
2034;zachary.mills;12345679;21/5/2021;20/6/2025
1500;gloria.washington;12345678;31/3/2024;19/5/2025
5343;timothy.harrison;qO@m7!Oz&P;6/9/2023;19/5/2025
7976;michaela.banks;)sC2(Ee@AK;4/9/2022;16/1/2025
2191;sean.parker;nuevaContra;11/7/2021;19/5/2025
2316;craig.haynes;1xg0I(+u)X;4/4/2021;14/1/2025
2448;taylor.reynolds;^0YFuIq)+r;27/5/2021;19/5/2025
2376;brandon.morrison;12345678;8/12/2021;19/5/2025
3018;james.marsh;uw1E#bxu^b;29/9/2021;22/2/2025
2945;monica.mitchell;12345678;23/11/2022;18/5/2025
1111;juan.perez;12345678;1/5/2025;
2222;vicky.parisi;12345679;1/5/2025;17/6/2025
3333;nicky.farre;nicky1234;1/5/2025;20/6/2025
